Account,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,greed_minus_fear_efficiency
0x430f09841d65beb3f27765503d0f850b8bce7713,-0.09999990455650645,9.23244882937954,93.86303583278699,193.46947380933165,999.6468522514404,591.9919385679746
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-658.5437940457356,-53.75667874218503,-85.45753262009983,344.65495582840487,110.97429129054878,583.9648599534371
0x6d6a4b953f202f8df5bed40692e7fd865318264a,13.61702640387975,6.409752812513448,33.40977285586286,226.97402251003976,690.1709104675688,448.5590768806077
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7.215671068709714,18.86998165108731,43.93867268308257,14.495310225187744,213.8473219918078,101.12848974859926
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-133.79043774485126,-1.5252529781596451,-30.901406617855134,-22.785009752058382,68.90232578418525,90.71650337756888
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,10.48537182312953,-43.8574277542864,-0.09999979245284973,89.7149113282716,-0.09999998178003511,61.493483638824216
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-65.08112654775083,19.80271296000087,12.71261691312167,21.706525303282536,39.043977405210825,53.014458148121655
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-55.741663572002686,14.330811556343628,8.752870524654803,20.614220654237677,32.61213331410572,47.31860299200123
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,1.6295143000195949,27.33898276147915,,89.80651801949132,32.20063699958315,46.51932897878787
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1.6172684352566877,12.480350365991338,125.71964940038013,34.02880444405941,66.34980108805041,43.1404933654309
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,0.9862728308009103,1.8781029027186007,-0.731518525128973,20.504835090958853,67.06513955234372,42.35279945489153
0x39cef799f8b69da1995852eea189df24eb5cae3c,-11.394341351746377,8.730985030068886,3.6393636011819868,14.31051343553215,26.202044524993276,21.58795714110146
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-11.7273143284234,-0.8682956969386694,-11.242746824164708,4.419074366534077,23.11553719891779,20.065110795406966
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,3.955488779261671,2.656426771081278,1.8132564280484342,13.692805217157135,28.868629501342195,17.97475958407819
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,4.893672011160914,-0.5683530555170664,-0.0046874833140158135,12.417281431582007,17.089913929304313,12.590938202621237
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-17.018031058276915,2.3623550159694293,2.9583356582503937,7.43793689125041,-0.15494253422385057,10.969335199667022
0x513b8629fe877bb581bf244e326a047b249c4ff1,-21.475294016395605,1.4641938434627206,5.276647236025807,1.132619600358796,-0.017021457296075033,10.563349157997802
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,9.510663359692646,21.882590799448217,-20.736344779062062,35.891940999846014,6.61460619346416,5.556646517084657
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,15.776717522506045,16.083918995186853,26.337025335839822,14.932370890787453,23.095018257645037,3.0833763153697973
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,6.07661494764616,4.578977341355881,1.3560956259260961,7.157289069714149,8.122400391063074,2.3120485858875917
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,-0.09999994744307955,4.1149942034713565,7.353578139279505,4.432706254094255,1.640622965417151,1.0291674817415646
0x8477e447846c758f5a675856001ea72298fd9cb5,2.111194270012963,7.537503627950176,0.08428158546637633,-5.548264698476442,14.624447064152854,-0.28625776614336296
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7.663900367762314,-1.3910203042844287,1.7636639942155885,1.9507321054267048,2.5199902481261103,-0.901078854962535
0xbaaaf6571ab7d571043ff1e313a9609a10637864,13.049992736291621,15.103252300263561,7.634398195390953,12.782236010893676,,-1.2943865073839156
0x271b280974205ca63b716753467d5a371de622ab,3.1769663991448414,1.9422886612295496,-4.21317373014633,-9.801006286052298,11.010687384437752,-1.9547869809944682
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,23.588580358930727,14.73088016727919,-1.1480657314476297,14.594555528146927,17.264313402119132,-3.2302957979719285
0x2c229d22b100a7beb69122eed721cee9b24011dd,40.81223363956243,6.513979056389587,12.739643082289037,19.308692695162964,17.73233006018332,-5.142594970302866
0x083384f897ee0f19899168e3b1bec365f52a9012,82.69202994549413,36.68335090621142,12.656542397670453,31.748728922223656,-3.685953178751076,-45.65630255411649
0x420ab45e0bd8863569a5efbb9c05d91f40624641,63.21389972575782,161.30259718273626,366.1379096680464,17.881860615266365,11.393323245052585,-97.62065652408756
0x8170715b3b381dffb7062c0298972d4727a0a63b,15.465507229288512,36.163466304090804,23.162942848893504,-124.05062285792467,-92.97281402198811,-134.32620520664605
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,344.2099821137372,228.65403732453743,-32.14314574415711,20.50491680535918,0.8878088877920636,-275.73564687256174
0xb899e522b5715391ae1d4f137653e7906c5e2115,-1.2887489655913578,0.4912979119181956,0.2804225293048832,,,
