sentiment,fear_greed_value,trade_count,realized_trades,unique_accounts,unique_coins,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl_per_trade,median_net_pnl_per_trade,win_rate_realized,avg_realized_pnl,pnl_per_1k_volume,avg_trade_size_usd,taker_rate
Extreme Fear,19.690514018691587,21400.0,10406.0,32.0,85.0,114484261.44,739110.24849,23888.6339393869,715221.614550613,33.42157077339313,-0.0059584849999999995,0.7621564482029598,71.02731582644628,6.247335708458522,5349.7318429906545,0.5669626168224299
Fear,33.20254863592994,61837.0,29808.0,32.0,134.0,483324789.78999996,3357155.4416419994,92456.94867415482,3264698.492967845,52.79522766252963,-0.005752,0.8728864734299517,112.62598770940686,6.7546680036551106,7816.109930785775,0.6008862008182804
Neutral,48.66117391073608,37686.0,18159.0,31.0,147.0,180242063.07999998,1292920.6755499998,39374.2683038708,1253546.4072461294,33.26292010948706,-0.007516,0.8238889806707418,71.19999314664905,6.954793935585091,4782.732661465796,0.6187708963540838
Greed,67.97777468540643,50303.0,25176.0,31.0,193.0,288582494.71999997,2150129.272951,63098.6919791683,2087030.580971832,41.489187145335904,-0.010485,0.7689068954559898,85.4039272700588,7.2320068582011325,5736.884375086972,0.6144762737808879
Extreme Greed,79.55298559711943,39992.0,20853.0,30.0,165.0,124465164.57,2715171.310673,27030.66546515,2688140.6452078503,67.21695952210068,-0.00114849,0.8916702632714717,130.20530910051312,21.597534173475687,3112.2515645629123,0.6222244448889778
