trade_date,sentiment,fear_greed_value,trade_count,realized_trades,unique_accounts,unique_coins,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl_per_trade,median_net_pnl_per_trade,win_rate_realized,avg_realized_pnl,pnl_per_1k_volume,avg_trade_size_usd,taker_rate
2024-02-16,Greed,72.0,182.0,146.0,2.0,7.0,564896.51,5491.768834,27.22517,5464.543664,30.024965186813187,11.4370715,1.0,37.61485502739726,9.673530579964106,3103.826978021978,0.22527472527472528
2024-02-17,Extreme Greed,76.0,94.0,65.0,2.0,9.0,406118.0699999999,1929.6418,62.055053,1867.586747,19.867944117021278,4.19488,0.9384615384615385,29.686796923076926,4.598630016635312,4320.404999999999,0.574468085106383
2024-02-18,Greed,72.0,97.0,68.0,1.0,5.0,157048.17000000004,477.62483,-3.140925,480.765755,4.956347989690721,6.599672999999999,0.8970588235294118,7.023894558823532,3.0612630188559335,1619.0532989690726,0.0
2024-02-19,Extreme Greed,75.0,101.0,79.0,2.0,6.0,286377.19999999995,4317.768563,14.852620000000002,4302.915943,42.60312814851485,10.741992,0.9746835443037974,54.65529826582279,15.025343997357334,2835.4178217821777,0.2871287128712871
2024-02-20,Greed,72.0,39.0,32.0,2.0,6.0,119419.71999999999,3263.6288240000003,3.0736749999999997,3260.5551490000003,83.60397817948719,13.656748,0.96875,101.98840075,27.303322675685394,3062.044102564102,0.358974358974359
2024-02-21,Extreme Greed,78.0,22.0,15.0,2.0,4.0,108047.52,1858.7985699999997,2.970629,1855.8279410000002,84.3558155,25.4284235,1.0,123.91990466666667,17.176034591076228,4911.250909090909,0.2727272727272727
2024-02-22,Greed,74.0,88.0,54.0,2.0,5.0,373033.87,3894.105069999999,25.45258,3868.6524900000004,43.961960113636366,-0.007319,0.7407407407407407,72.11305685185185,10.370780781916668,4239.02125,0.5
2024-02-23,Extreme Greed,76.0,143.0,138.0,1.0,3.0,111106.14,1418.5529299999998,-2.067069,1420.619999,9.934405587412588,7.197727,0.9927536231884058,10.279369057971014,12.786152043442424,776.966013986014,0.02097902097902098
2024-02-25,Greed,74.0,5.0,2.0,1.0,1.0,4480.13,-30.7705,-0.08960000000000001,-30.6809,-6.13618,0.002027,0.0,-15.38525,-6.8482164580045675,896.0260000000001,0.0
2024-02-26,Greed,72.0,39.0,34.0,2.0,3.0,192187.14,4416.8473,-0.09772499999999998,4416.945025,113.25500064102565,31.04124,1.0,129.90727352941178,22.982521229047894,4927.875384615385,0.28205128205128205
2024-02-27,Extreme Greed,79.0,63.0,42.0,2.0,7.0,209362.3,888.511733,-3.761608999999999,892.2733420000001,14.163068920634922,0.058997,0.6190476190476191,21.155041261904763,4.261862532079558,3323.2111111111108,0.1111111111111111
2024-02-28,Extreme Greed,82.0,45.0,39.0,1.0,3.0,171107.12999999998,2503.7472349999994,-1.3771520000000002,2505.1243870000003,55.66943082222223,18.133043,1.0,64.19864705128205,14.640677960059296,3802.380666666666,0.13333333333333333
2024-02-29,Extreme Greed,80.0,116.0,100.0,2.0,8.0,395666.73,9813.996992,1.3590850000000003,9812.637906999998,84.59170609482757,29.674401500000002,1.0,98.13996991999998,24.80026032767526,3410.9200862068965,0.1724137931034483
2024-03-01,Extreme Greed,80.0,137.0,128.0,1.0,7.0,472974.7,8244.241409,-0.5468539999999997,8244.788263,60.180936226277375,27.06474,1.0,64.4081360078125,17.431774390892368,3452.370072992701,0.051094890510948905
2024-03-02,Extreme Greed,80.0,31.0,28.0,2.0,4.0,63197.55999999999,230.90060000000022,-0.469129,231.3697290000003,7.463539645161299,1.312845,0.75,8.246450000000008,3.6610547780642215,2038.6309677419351,0.22580645161290322
2024-03-03,Extreme Greed,83.0,79.0,54.0,1.0,8.0,390745.6800000001,8361.086245,-2.5071029999999994,8363.593348,105.8682702278481,15.049954,1.0,154.83493046296297,21.404186344427398,4946.147848101267,0.05063291139240506
2024-03-04,Extreme Greed,82.0,300.0,270.0,2.0,15.0,1577996.87,27799.775742,-0.5594489999999999,27800.335191,92.66778396999999,30.871160500000002,0.9851851851851852,102.96213237777778,17.6174843686477,5259.989566666667,0.29333333333333333
2024-03-05,Extreme Greed,90.0,180.0,163.0,1.0,5.0,841810.3200000001,19791.026040999997,-4.438459,19795.464500000002,109.97480277777778,34.383185,1.0,121.4173376748466,23.51535022759046,4676.724,0.2111111111111111
2024-03-06,Extreme Greed,75.0,82.0,72.0,1.0,6.0,327218.02,6814.8251390000005,-3.355318,6818.1804569999995,83.14854215853659,26.950559,1.0,94.65034915277778,20.836812278859213,3990.4636585365856,0.13414634146341464
